pair,left_level,right_level,games,left_wins,right_wins,draws,left_score_rate,right_score_rate,draw_rate,avg_plies,avg_game_ms,left_as_white_score_rate,left_as_black_score_rate,reasons
1-2,1,2,2,0,1,1,0.2500,0.7500,0.5000,120.50,6944.50,0.5000,0.0000,"max-plies-limit:1; checkmate:1"
1-3,1,3,2,0,2,0,0.0000,1.0000,0.0000,66.50,4521.00,0.0000,0.0000,"checkmate:2"
1-4,1,4,2,0,2,0,0.0000,1.0000,0.0000,66.50,6105.50,0.0000,0.0000,"checkmate:2"
1-5,1,5,2,0,2,0,0.0000,1.0000,0.0000,74.50,13947.50,0.0000,0.0000,"checkmate:2"
1-6,1,6,2,0,2,0,0.0000,1.0000,0.0000,66.50,19935.50,0.0000,0.0000,"checkmate:2"
1-7,1,7,2,0,2,0,0.0000,1.0000,0.0000,45.50,20899.50,0.0000,0.0000,"checkmate:2"
2-3,2,3,2,0,2,0,0.0000,1.0000,0.0000,90.50,7053.00,0.0000,0.0000,"checkmate:2"
2-4,2,4,2,0,2,0,0.0000,1.0000,0.0000,76.50,7742.50,0.0000,0.0000,"checkmate:2"
2-5,2,5,2,0,2,0,0.0000,1.0000,0.0000,106.50,21164.00,0.0000,0.0000,"checkmate:2"
2-6,2,6,2,0,2,0,0.0000,1.0000,0.0000,74.50,22572.00,0.0000,0.0000,"checkmate:2"
2-7,2,7,2,0,2,0,0.0000,1.0000,0.0000,52.50,24575.50,0.0000,0.0000,"checkmate:2"
3-4,3,4,2,0,1,1,0.2500,0.7500,0.5000,129.50,13904.50,0.0000,0.5000,"checkmate:1; threefold-repetition:1"
3-5,3,5,2,0,2,0,0.0000,1.0000,0.0000,81.50,16903.00,0.0000,0.0000,"checkmate:2"
3-6,3,6,2,0,2,0,0.0000,1.0000,0.0000,77.50,24676.50,0.0000,0.0000,"checkmate:2"
3-7,3,7,2,0,2,0,0.0000,1.0000,0.0000,90.50,43120.00,0.0000,0.0000,"checkmate:2"
4-5,4,5,2,0,2,0,0.0000,1.0000,0.0000,83.50,19163.50,0.0000,0.0000,"checkmate:2"
4-6,4,6,2,0,2,0,0.0000,1.0000,0.0000,82.50,27547.00,0.0000,0.0000,"checkmate:2"
4-7,4,7,2,0,1,1,0.2500,0.7500,0.5000,98.50,50522.00,0.0000,0.5000,"checkmate:1; threefold-repetition:1"
5-6,5,6,2,0,0,2,0.5000,0.5000,1.0000,133.00,58276.50,0.5000,0.5000,"max-plies-limit:1; threefold-repetition:1"
5-7,5,7,2,0,1,1,0.2500,0.7500,0.5000,135.50,82791.00,0.5000,0.0000,"max-plies-limit:1; checkmate:1"
6-7,6,7,2,0,0,2,0.5000,0.5000,1.0000,122.00,87221.00,0.5000,0.5000,"threefold-repetition:1; max-plies-limit:1"
